,cost,opt,ratio,time,V,E,R
0,25,25,1.0,0.0004267880576662719,7,21,5
1,60,58,1.0344827586206897,0.0005963570438325405,19,171,6
2,62,62,1.0,0.00037739798426628113,6,15,7
3,42,42,1.0,0.00033937004627659917,8,28,6
4,46,45,1.0222222222222221,0.0003973279963247478,15,105,6
5,44,44,1.0,0.0003185989335179329,7,21,7
6,20,19,1.0526315789473684,0.00037005002377554774,13,78,4
7,33,31,1.064516129032258,0.0003515880089253187,8,28,5
8,31,30,1.0333333333333334,0.0003819240373559296,19,171,4
9,10,10,1.0,0.00020832702284678817,16,120,3
10,62,62,1.0,0.0005059990216977894,13,78,7
11,37,35,1.0571428571428572,0.0005868379957973957,11,55,5
12,20,20,1.0,0.00023695908021181822,9,36,5
13,27,25,1.08,0.000406053033657372,13,78,5
14,19,19,1.0,0.00024203199427574873,19,171,3
15,28,28,1.0,0.0003071199753321707,9,36,5
16,29,29,1.0,0.0003585439990274608,20,190,5
17,52,51,1.0196078431372548,0.0006651400472037494,14,91,7
18,31,31,1.0,0.00029293698025867343,11,55,4
19,36,36,1.0,0.00020603998564183712,5,10,6
20,49,49,1.0,0.0003428629133850336,9,36,7
21,36,36,1.0,0.0004962990060448647,17,136,6
22,20,20,1.0,0.00018356903456151485,7,21,3
23,27,27,1.0,0.00025480904150754213,11,55,6
24,41,41,1.0,0.0001889839768409729,7,21,5
25,36,33,1.0909090909090908,0.0004285670001991093,18,153,5
26,27,27,1.0,0.0003226500120945275,20,190,4
27,19,17,1.1176470588235294,0.000301424995996058,10,45,3
28,25,23,1.0869565217391304,0.0002750969724729657,9,36,3
29,25,24,1.0416666666666667,0.0003317900118418038,16,120,3
30,21,19,1.105263157894737,0.00031569600105285645,11,55,4
31,49,48,1.0208333333333333,0.0005193679826334119,16,120,7
32,25,23,1.0869565217391304,0.00039002596167847514,17,136,3
33,30,30,1.0,0.000362515973392874,9,36,6
34,47,47,1.0,0.0005136789404787123,11,55,7
35,51,51,1.0,0.000360839010681957,9,36,6
36,55,52,1.0576923076923077,0.0006437359843403101,19,171,7
37,17,16,1.0625,0.0003403300070203841,5,10,3
38,34,34,1.0,0.0003277770010754466,16,120,5
39,58,56,1.0357142857142858,0.0005043530254624784,20,190,7
40,46,46,1.0,0.0004701720317825675,12,66,7
41,44,44,1.0,0.0002858100342564285,9,36,6
42,63,61,1.0327868852459017,0.0005476800142787397,13,78,7
43,24,23,1.0434782608695652,0.0003546510124579072,17,136,4
44,68,68,1.0,0.00043707701843231916,11,55,7
45,33,32,1.03125,0.00040483096381649375,20,190,5
46,27,27,1.0,0.00027048104675486684,5,10,4
47,38,38,1.0,0.00025724107399582863,12,66,6
48,33,32,1.03125,0.0004540099762380123,14,91,7
49,41,41,1.0,0.0003904480836354196,14,91,6
50,38,37,1.027027027027027,0.00037457403959706426,12,66,6
51,54,54,1.0,0.00038267101626843214,10,45,5
52,40,38,1.0526315789473684,0.0003888069768436253,14,91,7
53,29,25,1.16,0.00036189297679811716,12,66,4
54,31,31,1.0,0.0001937909983098507,7,21,4
55,44,41,1.0731707317073171,0.00033629598328843713,11,55,4
56,35,35,1.0,0.000353436975274235,6,15,7
57,42,41,1.024390243902439,0.00038316199788823724,13,78,6
58,59,57,1.0350877192982457,0.000704518985003233,12,66,7
59,35,35,1.0,0.00019614200573414564,6,15,5
60,36,36,1.0,0.0001991249737329781,6,15,5
61,37,37,1.0,0.0005274519789963961,12,66,4
62,41,40,1.025,0.0006120550096966326,13,78,6
63,47,47,1.0,0.0003552279667928815,18,153,7
64,29,28,1.0357142857142858,0.00040233199251815677,15,105,4
65,47,42,1.119047619047619,0.000469977967441082,18,153,4
66,39,39,1.0,0.00044636294478550553,20,190,6
67,35,33,1.0606060606060606,0.0004379360470920801,20,190,4
68,24,23,1.0434782608695652,0.00036278896732255816,16,120,6
69,57,57,1.0,0.0005582480225712061,18,153,7
70,34,30,1.1333333333333333,0.0002680059988051653,7,21,3
71,33,31,1.064516129032258,0.00045734900049865246,11,55,5
72,56,56,1.0,0.00030612299451604486,5,10,7
73,30,30,1.0,0.0002973990049213171,8,28,6
74,39,39,1.0,0.0003367280005477369,5,10,6
75,30,30,1.0,0.0004140040255151689,20,190,5
76,41,38,1.0789473684210527,0.00040236010681837797,10,45,5
77,51,51,1.0,0.0005062860436737537,19,171,7
78,31,29,1.0689655172413792,0.0006481159944087267,18,153,7
79,29,29,1.0,0.0002681840560398996,9,36,6
80,22,22,1.0,0.00028136593755334616,9,36,3
81,25,24,1.0416666666666667,0.0002553029917180538,17,136,3
82,20,20,1.0,0.00022956699831411242,7,21,4
83,35,33,1.0606060606060606,0.0004799299640581012,15,105,6
84,31,28,1.1071428571428572,0.0005157329724170268,18,153,5
85,11,11,1.0,0.00017792102880775928,17,136,3
86,46,46,1.0,0.0003679479123093188,20,190,6
87,19,17,1.1176470588235294,0.00031213799957185984,11,55,3
88,41,39,1.0512820512820513,0.0004195479559712112,14,91,5
89,39,39,1.0,0.0006363729480654001,20,190,7
90,45,43,1.0465116279069768,0.000626328052021563,20,190,7
91,33,33,1.0,0.0002562709851190448,12,66,5
92,40,39,1.0256410256410255,0.0004423959762789309,17,136,6
93,25,25,1.0,0.0001709499629214406,8,28,3
94,47,45,1.0444444444444445,0.0006101540056988597,11,55,7
95,20,20,1.0,0.00023242796305567026,6,15,3
96,41,41,1.0,0.0003862119629047811,19,171,6
97,16,16,1.0,0.00016780500300228596,8,28,3
98,26,26,1.0,0.0001621859846636653,5,10,3
99,21,21,1.0,0.0003966389922425151,10,45,3
100,20,20,1.0,0.00022642093244940042,12,66,3
101,26,26,1.0,0.00016889703692868352,8,28,3
102,19,19,1.0,0.0003098480519838631,13,78,3
103,11,11,1.0,0.00022740702843293548,16,120,3
104,29,28,1.0357142857142858,0.0006489529623650014,17,136,3
105,27,27,1.0,0.00023678893921896815,16,120,3
106,40,36,1.1111111111111112,0.0004278309643268585,15,105,5
107,26,26,1.0,0.00019276398234069347,5,10,5
108,33,32,1.03125,0.000403282989282161,19,171,4
109,25,25,1.0,0.0002732949797064066,5,10,5
110,41,41,1.0,0.00040359096601605415,11,55,5
111,13,13,1.0,0.00018179399194195867,8,28,3
112,24,24,1.0,0.00041332398541271687,11,55,7
113,37,37,1.0,0.00028925802325829864,9,36,6
114,38,38,1.0,0.0002776460023596883,8,28,6
115,26,24,1.0833333333333333,0.00039173400728031993,19,171,3
116,34,34,1.0,0.00030837696976959705,8,28,6
117,22,22,1.0,0.0002504530129954219,13,78,3
118,30,30,1.0,0.00035132502671331167,8,28,3
119,42,42,1.0,0.0005843379767611623,15,105,7
120,35,35,1.0,0.00029800395714119077,16,120,4
121,8,8,1.0,0.00016860204050317407,12,66,3
122,29,29,1.0,0.00023562501883134246,20,190,3
123,32,32,1.0,0.00018942804308608174,7,21,4
124,39,39,1.0,0.00021189794642850757,9,36,6
125,50,48,1.0416666666666667,0.00047603901475667953,16,120,6
126,31,26,1.1923076923076923,0.00036777998320758343,19,171,4
127,37,34,1.088235294117647,0.0002908090245909989,7,21,4
128,35,35,1.0,0.0003752510529011488,17,136,5
129,20,20,1.0,0.00012958503793925047,5,10,4
130,15,15,1.0,0.0001989619922824204,5,10,3
131,47,47,1.0,0.00042121397564187646,6,15,7
132,15,13,1.1538461538461537,0.0003340510302223265,16,120,3
133,22,22,1.0,0.00024194602156057954,6,15,3
134,23,23,1.0,0.00028008705703541636,7,21,3
135,42,40,1.05,0.0005600969307124615,17,136,6
136,30,30,1.0,0.00037391402292996645,7,21,6
137,43,41,1.048780487804878,0.0004577870131470263,17,136,6
138,44,42,1.0476190476190477,0.0004282150184735656,18,153,5
139,20,20,1.0,0.0001857670140452683,5,10,4
140,49,49,1.0,0.0003629779675975442,12,66,7
141,52,50,1.04,0.00045213394332677126,13,78,6
142,22,22,1.0,0.0001964370021596551,5,10,5
143,44,43,1.0232558139534884,0.0005133430240675807,17,136,6
144,22,21,1.0476190476190477,0.00039720797212794423,16,120,3
145,24,24,1.0,0.0002438579685986042,17,136,3
146,36,36,1.0,0.00024096696870401502,9,36,6
147,42,41,1.024390243902439,0.00035009492421522737,16,120,5
148,41,41,1.0,0.00031756708631291986,6,15,7
149,16,16,1.0,0.0004086580593138933,11,55,3
150,38,37,1.027027027027027,0.0003516169963404536,14,91,5
151,42,42,1.0,0.0003330179024487734,14,91,5
152,35,33,1.0606060606060606,0.0006532110273838043,15,105,7
153,45,43,1.0465116279069768,0.00041377695742994547,12,66,5
154,20,20,1.0,0.0006021540029905736,12,66,3
155,39,37,1.054054054054054,0.00037312996573746204,8,28,6
156,44,43,1.0232558139534884,0.000373277987819165,15,105,4
157,31,31,1.0,0.00020617793779820204,7,21,6
158,28,28,1.0,0.00038882798980921507,12,66,3
159,23,19,1.2105263157894737,0.0004754579858854413,20,190,4
160,30,28,1.0714285714285714,0.00034912204137071967,17,136,4
161,37,35,1.0571428571428572,0.00030390097526833415,12,66,5
162,21,21,1.0,0.00024027196923270822,9,36,3
163,35,35,1.0,0.00019375793635845184,10,45,5
164,43,43,1.0,0.0002885819994844496,5,10,5
165,48,48,1.0,0.0005720639601349831,13,78,7
166,28,28,1.0,0.000191272993106395,10,45,4
167,40,40,1.0,0.00042520201532170177,15,105,6
168,28,27,1.037037037037037,0.0003981670015491545,16,120,5
169,47,43,1.0930232558139534,0.0005043480196036398,16,120,6
170,51,50,1.02,0.0006693739560432732,20,190,7
171,46,45,1.0222222222222221,0.0006055700359866023,16,120,7
172,20,20,1.0,0.000287596951238811,8,28,3
173,36,36,1.0,0.0002693380229175091,6,15,7
174,17,17,1.0,0.0006953650154173374,8,28,4
175,43,40,1.075,0.00044954702025279403,15,105,5
176,27,25,1.08,0.0003453700337558985,15,105,3
177,24,22,1.0909090909090908,0.00029542401898652315,18,153,3
178,25,25,1.0,0.00016264099394902587,9,36,3
179,40,40,1.0,0.00027970800874754786,6,15,6
180,43,40,1.075,0.0005714500439353287,19,171,6
181,23,23,1.0,0.0001744279870763421,18,153,3
182,34,34,1.0,0.00031448103254660964,13,78,4
183,40,40,1.0,0.0003053270047530532,17,136,4
184,29,29,1.0,0.00036881095729768276,19,171,3
