,cost,opt,ratio,time,V,E,R
0,41,41,1.0,0.00040175102185457945,13,15,3
1,44,44,1.0,0.00026799202896654606,14,14,3
2,65,65,1.0,0.0007456869352608919,15,17,7
3,70,70,1.0,0.0003706929855979979,14,16,5
4,36,36,1.0,0.00022742996225133538,7,7,3
5,67,67,1.0,0.00040191999869421124,11,11,5
6,76,76,1.0,0.00043511297553777695,14,14,5
7,89,89,1.0,0.0003746899892576039,12,12,4
8,24,24,1.0,0.0002662999904714525,5,6,4
9,16,16,1.0,0.0002183350152336061,7,9,1
10,8,8,1.0,0.00013162207324057817,4,4,1
11,66,66,1.0,0.0003925100318156183,10,11,7
12,12,12,1.0,0.00016968295676633716,3,3,2
13,73,73,1.0,0.0004821239854209125,14,14,5
14,33,33,1.0,0.00022152403835207224,8,8,2
15,36,36,1.0,0.00028931995620951056,13,13,2
16,34,34,1.0,0.00023573701037093997,15,18,3
17,59,59,1.0,0.00032122101401910186,9,11,4
18,19,19,1.0,0.00030345399864017963,12,13,2
19,72,72,1.0,0.000788860023021698,13,13,6
20,45,45,1.0,0.00030156696448102593,10,12,6
21,8,8,1.0,0.00014752999413758516,7,7,1
22,38,38,1.0,0.0001824739738367498,14,14,3
23,45,45,1.0,0.0005536599783226848,8,10,5
24,56,56,1.0,0.0010485409875400364,10,11,4
25,67,67,1.0,0.0006700720405206084,13,16,7
26,64,64,1.0,0.0003052789834327996,10,10,4
27,70,69,1.0144927536231885,0.00043364602606743574,15,17,4
28,12,12,1.0,0.00014055095380172133,13,13,1
29,57,57,1.0,0.0004591770120896399,8,9,7
30,100,100,1.0,0.0006313459598459303,16,16,7
31,15,15,1.0,0.00016270502237603068,4,5,2
32,8,8,1.0,0.0001293760142289102,4,5,1
33,22,22,1.0,0.00015408301260322332,5,6,2
34,59,59,1.0,0.00036058295518159866,11,13,5
35,46,46,1.0,0.00021667202236130834,6,6,2
36,2,2,1.0,0.0001328189973719418,12,14,1
37,17,17,1.0,0.0003045940538868308,6,7,4
38,20,20,1.0,0.00013053498696535826,4,4,1
39,51,51,1.0,0.00033206300577148795,7,7,4
40,98,98,1.0,0.0003637979971244931,14,14,5
41,24,24,1.0,0.0002288489486090839,5,6,3
42,70,70,1.0,0.00037794403033331037,14,17,5
43,55,55,1.0,0.00018810300389304757,5,6,4
44,63,63,1.0,0.0005057300440967083,14,15,6
45,50,50,1.0,0.0003352710045874119,16,16,3
46,6,6,1.0,0.0003375660162419081,13,15,1
47,73,73,1.0,0.0005730109987780452,9,9,5
48,10,10,1.0,0.00014154001837596297,7,9,1
49,48,48,1.0,0.00020759901963174343,11,11,2
50,8,8,1.0,0.0001255660317838192,3,3,1
51,59,59,1.0,0.00031488598324358463,16,18,5
52,38,38,1.0,0.0008136570686474442,10,11,6
53,16,16,1.0,0.00035555195063352585,10,11,2
54,27,27,1.0,0.0007050149724818766,6,6,2
55,73,73,1.0,0.000392557994928211,13,14,6
56,37,37,1.0,0.00046355603262782097,13,15,3
57,2,2,1.0,0.00013368204236030579,3,3,1
58,23,23,1.0,0.00020967493765056133,7,8,3
59,62,62,1.0,0.0004006659728474915,14,16,6
60,2,2,1.0,0.00014034699415788054,7,7,1
61,74,74,1.0,0.00021516100969165564,13,14,3
62,24,24,1.0,0.00022466894006356597,17,20,2
63,18,18,1.0,0.00013927998952567577,17,17,1
64,54,54,1.0,0.00022818200523033738,13,16,3
65,95,95,1.0,0.0005673449486494064,15,18,7
66,60,57,1.0526315789473684,0.0007253189687617123,14,17,6
67,126,126,1.0,0.0006370770279318094,17,18,6
68,12,12,1.0,0.00016814505215734243,9,10,1
69,24,24,1.0,0.00023104000138118863,16,19,2
