,cost,opt,ratio,time,V,E,R
0,26,26,1.0,0.00028514105360955,4,3,2
1,33,33,1.0,0.0002859169617295265,12,32,2
2,65,65,1.0,0.0003805920132435858,9,23,5
3,44,44,1.0,0.0002829450531862676,6,8,4
4,33,33,1.0,0.00022662902483716607,10,22,2
5,40,40,1.0,0.00028991902945563197,8,17,5
6,44,44,1.0,0.00022426596842706203,6,8,3
7,52,52,1.0,0.0005734440055675805,12,31,6
8,44,44,1.0,0.0005760639905929565,11,26,6
9,60,60,1.0,0.00043171801371499896,9,17,7
10,39,39,1.0,0.0002913890639320016,8,13,4
11,34,34,1.0,0.000289884046651423,5,5,2
12,49,49,1.0,0.0003574460279196501,8,14,4
13,61,61,1.0,0.0005627860082313418,9,17,6
14,42,42,1.0,0.0003579989424906671,11,26,4
15,24,24,1.0,0.00021844299044460058,8,14,2
16,37,37,1.0,0.00024654698790982366,10,21,2
17,56,56,1.0,0.0005068720201961696,11,28,6
18,44,44,1.0,0.0005184909678064287,10,25,5
19,35,35,1.0,0.00026789901312440634,8,17,4
20,42,42,1.0,0.00035019504139199853,10,25,4
21,49,49,1.0,0.00025631109019741416,8,14,5
22,34,34,1.0,0.0003377190441824496,8,17,4
23,41,41,1.0,0.0002613720134831965,10,25,5
24,52,52,1.0,0.0003441340522840619,8,17,4
25,30,30,1.0,0.0004527620621956885,11,26,4
26,36,36,1.0,0.00018783495761454105,11,26,4
27,53,53,1.0,0.0004243080038577318,9,19,8
28,43,43,1.0,0.00026697199791669846,12,31,4
29,42,42,1.0,0.0005319049814715981,8,13,6
30,33,33,1.0,0.00033288501435890794,8,14,2
31,24,24,1.0,0.00021508894860744476,10,22,2
32,45,45,1.0,0.0003553520073182881,10,21,4
33,36,36,1.0,0.00024505704641342163,8,14,5
34,54,54,1.0,0.0001938329660333693,9,19,4
35,58,58,1.0,0.0004589730524457991,10,25,6
36,45,45,1.0,0.0002731200074777007,12,32,5
37,14,14,1.0,0.00022766098845750093,5,5,2
38,64,64,1.0,0.0008043429697863758,10,22,5
39,67,65,1.0307692307692307,0.0006819679983891547,12,32,8
40,37,37,1.0,0.0002847299911081791,9,19,4
41,46,46,1.0,0.00034975301241502166,10,25,5
42,61,61,1.0,0.0002856290666386485,7,10,6
43,44,44,1.0,0.00045309605775400996,11,26,4
44,54,54,1.0,0.00042281998321413994,7,10,5
45,35,35,1.0,0.0004224429721944034,12,32,4
46,51,48,1.0625,0.0005021080141887069,9,23,4
47,51,51,1.0,0.0003948340308852494,9,19,6
48,23,23,1.0,0.00024877494433894753,7,10,4
49,38,38,1.0,0.00018823298159986734,13,37,4
50,38,38,1.0,0.0003086680080741644,6,7,4
51,56,56,1.0,0.00035514996852725744,14,43,5
52,39,39,1.0,0.00025381502928212285,7,10,5
53,43,43,1.0,0.0003022069577127695,9,19,7
54,62,62,1.0,0.0002945930464193225,5,5,4
55,58,58,1.0,0.0005122899892739952,9,19,4
56,28,28,1.0,0.00028873898554593325,6,8,4
57,30,30,1.0,0.00021319999359548092,10,22,2
