,cost,opt,ratio,time,V,E,R
0,26,26,1.0,0.0012995859724469483,14,13,2
1,30,30,1.0,0.00018375099170953035,3,2,2
2,16,16,1.0,0.0001452359720133245,7,6,1
3,88,88,1.0,0.0006276749772951007,12,11,6
4,36,36,1.0,0.00024026603205129504,7,6,3
5,72,72,1.0,0.0008052539778873324,11,10,5
6,76,76,1.0,0.0003854020033031702,14,13,5
7,90,90,1.0,0.00048453803174197674,12,11,4
8,30,30,1.0,0.00025942001957446337,5,4,4
9,16,16,1.0,0.0001398540334776044,7,6,1
10,8,8,1.0,0.00013346201740205288,4,3,1
11,82,82,1.0,0.0003932210383936763,10,9,7
12,16,16,1.0,0.0001635570079088211,3,2,2
13,82,82,1.0,0.0005888449959456921,14,13,5
14,40,40,1.0,0.00020771200070157647,8,7,2
15,36,36,1.0,0.00023699895245954394,13,12,2
16,68,68,1.0,0.00041121302638202906,15,14,3
17,78,78,1.0,0.00023956899531185627,9,8,4
18,36,36,1.0,0.00021145999198779464,12,11,2
19,72,72,1.0,0.0007481200154870749,13,12,6
20,82,82,1.0,0.00029696006095036864,10,9,6
21,8,8,1.0,0.00013912003487348557,7,6,1
22,38,38,1.0,0.00017754605505615473,14,13,3
23,56,56,1.0,0.00030477100517600775,8,7,5
24,60,60,1.0,0.0003028119681403041,10,9,4
25,108,108,1.0,0.0008097350946627557,13,12,7
26,74,74,1.0,0.00041875604074448347,10,9,4
27,98,98,1.0,0.0002635649871081114,15,14,4
28,12,12,1.0,0.00013432401465252042,13,12,1
29,70,70,1.0,0.0004442090285010636,8,7,7
30,100,100,1.0,0.0007675910019315779,16,15,7
31,26,26,1.0,0.00016592699103057384,4,3,2
32,8,8,1.0,0.00013098405906930566,4,3,1
33,22,22,1.0,0.00014658900909125805,5,4,2
34,86,86,1.0,0.0004374890122562647,11,10,5
35,64,64,1.0,0.0002014960045926273,6,5,2
36,2,2,1.0,0.00013366795610636473,12,11,1
37,22,22,1.0,0.0005874499911442399,6,5,4
38,20,20,1.0,0.00015146698569878936,4,3,1
39,76,76,1.0,0.0003390680067241192,7,6,4
40,98,98,1.0,0.0003494039992801845,14,13,5
41,32,32,1.0,0.0002226130454801023,5,4,3
42,104,104,1.0,0.0007901970529928803,14,13,5
43,62,62,1.0,0.0001887800171971321,5,4,4
44,76,76,1.0,0.0004901079810224473,14,13,6
45,50,50,1.0,0.00032642699079588056,16,15,3
46,6,6,1.0,0.00014052004553377628,13,12,1
47,88,88,1.0,0.0003431420191191137,9,8,5
48,10,10,1.0,0.0001341350143775344,7,6,1
49,78,78,1.0,0.00020285998471081257,11,10,2
50,8,8,1.0,0.00012945197522640228,3,2,1
51,78,78,1.0,0.00027699500788003206,16,15,5
52,52,52,1.0,0.00043460296001285315,10,9,6
53,16,16,1.0,0.0001574779744260013,10,9,2
54,32,32,1.0,0.0003149329568259418,6,5,2
55,106,106,1.0,0.00026078399969264865,13,12,6
56,50,50,1.0,0.0003843820304609835,13,12,3
57,2,2,1.0,0.00013515003956854343,3,2,1
58,36,36,1.0,0.0002138270647265017,7,6,3
59,72,72,1.0,0.0003655920154415071,14,13,6
60,2,2,1.0,0.00014814897440373898,7,6,1
61,84,84,1.0,0.00021250901045277715,13,12,3
62,32,32,1.0,0.00023163296282291412,17,16,2
63,18,18,1.0,0.00013434799620881677,17,16,1
64,84,84,1.0,0.0003119169850833714,13,12,3
65,136,136,1.0,0.0006244880496524274,15,14,7
66,68,68,1.0,0.0006646879483014345,14,13,6
67,158,158,1.0,0.0008245580247603357,17,16,6
68,12,12,1.0,0.0001856010057963431,9,8,1
69,34,34,1.0,0.00021646497771143913,16,15,2
70,34,34,1.0,0.00019392702961340547,6,5,2
71,52,52,1.0,0.00026970100589096546,9,8,2
72,42,42,1.0,0.00015812704805284739,5,4,3
73,8,8,1.0,0.00013163802213966846,12,11,1
74,112,112,1.0,0.00040369899943470955,17,16,7
75,114,114,1.0,0.0008729440160095692,11,10,7
76,66,66,1.0,0.00024177099112421274,17,16,3
77,14,14,1.0,0.00014076096704229712,16,15,1
78,88,88,1.0,0.00033205299405381083,9,8,5
79,64,64,1.0,0.0003929790109395981,9,8,3
80,56,56,1.0,0.0002428949810564518,17,16,3
81,22,22,1.0,0.00016055803280323744,4,3,3
82,58,58,1.0,0.0005934240762144327,10,9,7
83,52,52,1.0,0.00021399999968707561,8,7,2
84,128,128,1.0,0.00047617906238883734,17,16,5
85,20,20,1.0,0.0001541369711048901,6,5,2
86,94,94,1.0,0.0006366579909808934,12,11,7
87,64,64,1.0,0.0002585389884188771,8,7,4
88,66,66,1.0,0.0007308840285986662,10,9,7
89,90,90,1.0,0.00048632302787154913,12,11,5
90,2,2,1.0,0.00013906997628509998,4,3,1
91,30,30,1.0,0.0003935020067729056,6,5,4
92,64,64,1.0,0.00042228103848174214,7,6,5
93,40,40,1.0,0.0003054929547943175,9,8,4
94,90,90,1.0,0.0005424369592219591,9,8,7
95,106,106,1.0,0.0004844189970754087,11,10,4
96,18,18,1.0,0.00020999601110816002,9,8,2
97,36,36,1.0,0.00014785205712541938,3,2,2
98,76,76,1.0,0.0005237329751253128,9,8,4
99,78,78,1.0,0.0005658739246428013,11,10,6
100,6,6,1.0,0.0002363600069656968,13,12,1
101,72,72,1.0,0.00018342997645959258,5,4,4
102,68,68,1.0,0.0002663459745235741,6,5,5
103,20,20,1.0,0.0001436890452168882,3,2,2
104,12,12,1.0,0.000212418963201344,7,6,1
105,64,64,1.0,0.00030293804593384266,5,4,3
106,10,10,1.0,0.0001414329744875431,16,15,1
107,16,16,1.0,0.0001421369961462915,3,2,2
108,62,62,1.0,0.0001960070221684873,6,5,5
109,116,116,1.0,0.0005549040506593883,15,14,5
110,30,30,1.0,0.00019465899094939232,16,15,3
111,90,90,1.0,0.00025891000404953957,14,13,4
112,10,10,1.0,0.0001320790033787489,7,6,1
113,18,18,1.0,0.00014759699115529656,16,15,1
114,60,60,1.0,0.00032639200799167156,11,10,4
115,4,4,1.0,0.00013604603009298444,9,8,1
116,2,2,1.0,0.00020776200108230114,15,14,1
117,12,12,1.0,0.00013016205048188567,3,2,1
118,84,84,1.0,0.00046251300955191255,8,7,6
119,24,24,1.0,0.0002990560024045408,12,11,2
120,60,60,1.0,0.00031925097573548555,11,10,4
121,78,78,1.0,0.0003187330439686775,13,12,3
